Date,TikTok,WhatsApp,Phone,Snapchat,Instagram,Linkedin,X,Youtube,Spotify,Safari,Blu TV,Netflix,Good Sorting,Trivia Crack,Water Sort,Teams,ChatGPT,Mail,MobilDeniz,Gmail,Notlar,Takvim,Garanti BBVA,Photos,Camera,Migros,Sahibinden,Beymen,Pluxee,Zara,Caffe Nero,Yemek Sepeti,Hepsiburada,PULL&BEAR,Trendyol,Sephora,Getir,Starbucks,Social,Entertainment,Games,Productivity & Finance,Creativity,Shopping,Other,Daily Total Time,00.00-06.00,06.00-12.00,12.00-18.00,18.00-00.00
2025-11-01,0.0,20.0,0.0,20.0,24.0,4.0,5.0,28.0,3.0,25.0,8,3,22.0,0.0,20.0,17.0,2.0,0.0,0.0,12.0,10.0,6.0,28.0,27.0,0.0,19.0,17.0,9.0,7.0,10.0,22.0,13.0,13.0,13.0,8.0,29.0,1.0,0.0,73,67,42,75,27,161,0,301,28.0,74.0,137.0,62.0
2025-11-02,18.0,0.0,27.0,12.0,33.0,29.0,12.0,0.0,27.0,34.0,33,14,0.0,16.0,0.0,0.0,0.0,17.0,0.0,24.0,0.0,2.0,31.0,7.0,0.0,0.0,5.0,0.0,12.0,31.0,16.0,0.0,14.0,12.0,0.0,0.0,0.0,20.0,131,108,16,74,7,110,0,284,17.0,71.0,135.0,61.0
2025-11-03,5.0,19.0,0.0,7.0,10.0,1.0,9.0,13.0,0.0,0.0,15,0,0.0,3.0,2.0,17.0,0.0,3.0,18.0,2.0,0.0,22.0,4.0,1.0,16.0,16.0,21.0,21.0,4.0,9.0,0.0,0.0,6.0,18.0,0.0,0.0,21.0,2.0,51,28,5,66,17,118,0,290,11.0,114.0,106.0,59.0
2025-11-04,19.0,5.0,22.0,22.0,6.0,9.0,0.0,13.0,0.0,0.0,16,23,15.0,4.0,0.0,0.0,0.0,6.0,0.0,3.0,20.0,19.0,0.0,0.0,0.0,14.0,20.0,20.0,7.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,4.0,83,52,19,48,0,76,0,307,29.0,93.0,144.0,41.0
2025-11-05,13.0,2.0,0.0,0.0,30.0,0.0,16.0,28.0,30.0,2.0,0,18,2.0,16.0,2.0,12.0,2.0,0.0,29.0,19.0,6.0,8.0,31.0,33.0,3.0,16.0,9.0,26.0,19.0,4.0,0.0,17.0,22.0,0.0,0.0,12.0,0.0,15.0,61,78,20,107,36,140,0,293,21.0,102.0,108.0,62.0
2025-11-06,0.0,17.0,15.0,0.0,5.0,16.0,0.0,20.0,21.0,14.0,0,27,5.0,7.0,0.0,0.0,24.0,9.0,0.0,3.0,0.0,0.0,25.0,0.0,28.0,17.0,26.0,19.0,16.0,0.0,9.0,0.0,23.0,13.0,7.0,9.0,0.0,0.0,53,82,12,61,28,139,0,307,12.0,115.0,104.0,76.0
2025-11-07,0.0,13.0,4.0,0.0,8.0,20.0,14.0,4.0,12.0,16.0,15,7,19.0,0.0,7.0,24.0,9.0,0.0,19.0,7.0,16.0,15.0,0.0,5.0,4.0,19.0,21.0,19.0,20.0,23.0,20.0,23.0,13.0,2.0,20.0,2.0,21.0,16.0,59,54,26,90,9,219,0,293,23.0,96.0,117.0,57.0
2025-11-08,17.0,1.0,2.0,9.0,17.0,19.0,7.0,0.0,15.0,13.0,0,3,0.0,2.0,11.0,16.0,14.0,17.0,7.0,11.0,13.0,18.0,3.0,15.0,10.0,2.0,4.0,19.0,14.0,16.0,0.0,2.0,16.0,14.0,2.0,13.0,10.0,6.0,72,31,13,99,25,118,0,298,30.0,81.0,121.0,66.0
2025-11-09,27.0,7.0,26.0,0.0,9.0,0.0,17.0,16.0,10.0,19.0,17,0,16.0,0.0,12.0,17.0,8.0,0.0,0.0,7.0,21.0,8.0,0.0,3.0,23.0,12.0,0.0,14.0,3.0,29.0,5.0,22.0,0.0,25.0,25.0,23.0,19.0,0.0,86,62,28,61,26,177,0,312,22.0,120.0,114.0,56.0
2025-11-10,12.0,9.0,13.0,1.0,9.0,5.0,7.0,7.0,22.0,4.0,19,20,12.0,1.0,4.0,17.0,17.0,0.0,0.0,3.0,24.0,24.0,25.0,8.0,3.0,24.0,0.0,0.0,24.0,23.0,8.0,4.0,29.0,0.0,16.0,22.0,22.0,20.0,56,72,17,110,11,192,0,257,14.0,67.0,88.0,88.0
